Thomas S. Huang,rGF6-WkAAAAJ,Computer Vision
Thomas S. Huang,rGF6-WkAAAAJ,Image Processing
Thomas S. Huang,rGF6-WkAAAAJ,Pattern Recognition
Thomas S. Huang,rGF6-WkAAAAJ,Multimedia
Thomas S. Huang,rGF6-WkAAAAJ,AI
Yann LeCun,WLN3QrAAAAAJ,AI
Yann LeCun,WLN3QrAAAAAJ,machine learning
Yann LeCun,WLN3QrAAAAAJ,computer vision
Yann LeCun,WLN3QrAAAAAJ,robotics
Yann LeCun,WLN3QrAAAAAJ,image compression
Andrew Ng,mG4imMEAAAAJ,Machine Learning
Andrew Ng,mG4imMEAAAAJ,Deep Learning
Andrew Ng,mG4imMEAAAAJ,AI
Luc Van Gool,TwMib_QAAAAJ,computer vision
Luc Van Gool,TwMib_QAAAAJ,machine learning
Luc Van Gool,TwMib_QAAAAJ,AI
Luc Van Gool,TwMib_QAAAAJ,autonomous cars
Luc Van Gool,TwMib_QAAAAJ,cultural heritage
TOMASO POGGIO,WgAGy7wAAAAJ,Machine Learning
TOMASO POGGIO,WgAGy7wAAAAJ,Learning Theory
TOMASO POGGIO,WgAGy7wAAAAJ,AI
TOMASO POGGIO,WgAGy7wAAAAJ,Neuroscience
TOMASO POGGIO,WgAGy7wAAAAJ,Computational Vision
Aatos Heikkinen,5bF75yoAAAAJ,Data driven business
Aatos Heikkinen,5bF75yoAAAAJ,Computational physics
Aatos Heikkinen,5bF75yoAAAAJ,Machine learning
Aatos Heikkinen,5bF75yoAAAAJ,Artificial Intelligence
Aatos Heikkinen,5bF75yoAAAAJ,AI
Wolfram Burgard,zj6FavAAAAAJ,Artificial Intelligence
Wolfram Burgard,zj6FavAAAAAJ,Robotics
Wolfram Burgard,zj6FavAAAAAJ,AI
Serafim Batzoglou,POWKkqEAAAAJ,Computational Genomics
Serafim Batzoglou,POWKkqEAAAAJ,AI
Zhengyou Zhang,1I-DKy8AAAAJ,Computer Vision
Zhengyou Zhang,1I-DKy8AAAAJ,Multimedia
Zhengyou Zhang,1I-DKy8AAAAJ,Speech
Zhengyou Zhang,1I-DKy8AAAAJ,Robotics
Zhengyou Zhang,1I-DKy8AAAAJ,AI
Chris Pal,1ScWJOoAAAAJ,Deep Learning
Chris Pal,1ScWJOoAAAAJ,Computer Vision & Pattern Recognition
Chris Pal,1ScWJOoAAAAJ,Natural Language Processing
Chris Pal,1ScWJOoAAAAJ,Data Mining
Chris Pal,1ScWJOoAAAAJ,AI
TN Tan,1eWRcLUAAAAJ,AI
Johan Suykens,WtBmh0UAAAAJ,AI
Johan Suykens,WtBmh0UAAAAJ,Machine Learning
Johan Suykens,WtBmh0UAAAAJ,Systems and Control
Johan Suykens,WtBmh0UAAAAJ,Complex Networks
Johan Suykens,WtBmh0UAAAAJ,Deep Learning
Pieter Abbeel,vtwH6GkAAAAJ,Robotics
Pieter Abbeel,vtwH6GkAAAAJ,Machine Learning
Pieter Abbeel,vtwH6GkAAAAJ,AI
Oren Etzioni,-hmxit8AAAAJ,AI
Oren Etzioni,-hmxit8AAAAJ,Machine Reading
Oren Etzioni,-hmxit8AAAAJ,search.
J. Xavier Prochaska,04fD24sAAAAJ,Astronomy
J. Xavier Prochaska,04fD24sAAAAJ,AI
J. Xavier Prochaska,04fD24sAAAAJ,Tennis
Philippe Lambin,gpTJtKUAAAAJ,Cancer
Philippe Lambin,gpTJtKUAAAAJ,AI
