Geoffrey Hinton,JicYPdAAAAAJ,machine learning
Geoffrey Hinton,JicYPdAAAAAJ,psychology
Geoffrey Hinton,JicYPdAAAAAJ,artificial intelligence
Geoffrey Hinton,JicYPdAAAAAJ,cognitive science
Geoffrey Hinton,JicYPdAAAAAJ,computer science
Robert Tibshirani,ZpG_cJwAAAAJ,Statistics
Robert Tibshirani,ZpG_cJwAAAAJ,Applied Statistics
Robert Tibshirani,ZpG_cJwAAAAJ,Statistical learning
Robert Tibshirani,ZpG_cJwAAAAJ,machine learning
Robert Tibshirani,ZpG_cJwAAAAJ,data science
Yoshua Bengio,kukA0LcAAAAJ,Machine learning
Yoshua Bengio,kukA0LcAAAAJ,deep learning
Yoshua Bengio,kukA0LcAAAAJ,artificial intelligence
Francisco Matorras,q_wYjF8AAAAJ,Particle Physics
Francisco Matorras,q_wYjF8AAAAJ,High Performance Computing
Francisco Matorras,q_wYjF8AAAAJ,Statistical Data Analysis
Francisco Matorras,q_wYjF8AAAAJ,Machine learning
Francisco Matorras,q_wYjF8AAAAJ,Data Science
Trevor Hastie,tQVe-fAAAAAJ,Statistical learning and modeling
Trevor Hastie,tQVe-fAAAAAJ,data mining
Trevor Hastie,tQVe-fAAAAAJ,machine learning
Anil K. Jain,g-_ZXGsAAAAJ,Biometrics
Anil K. Jain,g-_ZXGsAAAAJ,Computer vision
Anil K. Jain,g-_ZXGsAAAAJ,Pattern recognition
Anil K. Jain,g-_ZXGsAAAAJ,Machine learning
Anil K. Jain,g-_ZXGsAAAAJ,Image processing
Andrew Zisserman,UZ5wscMAAAAJ,Computer Vision
Andrew Zisserman,UZ5wscMAAAAJ,Machine Learning
vapnik,vtegaJgAAAAJ,machine learning
vapnik,vtegaJgAAAAJ,statistics
vapnik,vtegaJgAAAAJ,computer science
Josh Cogan,_EPCKe0AAAAJ,High Energy Physics
Josh Cogan,_EPCKe0AAAAJ,Machine Learning
Josh Cogan,_EPCKe0AAAAJ,Computational Chemistry
Josh Cogan,_EPCKe0AAAAJ,Remote Environmental Monitoring
Michael I. Jordan,yxUduqMAAAAJ,machine learning
Michael I. Jordan,yxUduqMAAAAJ,statistics
Michael I. Jordan,yxUduqMAAAAJ,computational biology
Michael I. Jordan,yxUduqMAAAAJ,artificial intelligence
Michael I. Jordan,yxUduqMAAAAJ,optimization
Jitendra Malik,oY9R5YQAAAAJ,Computer Vision
Jitendra Malik,oY9R5YQAAAAJ,Computer Graphics
Jitendra Malik,oY9R5YQAAAAJ,Machine Learning
Tommaso Dorigo,p5i5SrgAAAAJ,Particle physics
Tommaso Dorigo,p5i5SrgAAAAJ,astrophysics
Tommaso Dorigo,p5i5SrgAAAAJ,machine learning
Lily Asquith,cFhAMkoAAAAJ,High Energy Experimental Particle Physics
Lily Asquith,cFhAMkoAAAAJ,ATLAS
